[Spectrum]
Version            = 1
IDData             = 95A7_2019-05-02_23-19-03_000_017
IDDevice           = SAM_8586
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
IDDataTypeSub3     = 
DateTime           = 2019-05-02 23:19:03
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8586
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_09-33-02_217_812
IDDataCal = DLAB_2018-04-12_15-39-16_217_235
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $03 Intensity mW/(m^2 nm Sr)
Unit3 = $f0 $03 Error mW/(m^2 nm Sr)
Unit4 = $f1 $00 Status 
p999 = 1
[END] of [Attributes]
[DATA]
 0 11 0 0
 309.90965643176 0 0 0
 313.22766421419 0 0 0
 316.54644259008 0 0 0
 319.86597972125 0.000679441291189876 0 0
 323.18626376952 0.000673854558484738 0 0
 326.50728289671 0.000417738099424001 0 0
 329.82902526464 0.000404412797611691 0 0
 333.15147903513 0.00029605559297184 0 0
 336.47463237 0.00023983301357158 0 0
 339.79847343107 0.000263030937171026 0 0
 343.12299038016 0.000184050204729761 0 0
 346.44817137909 0.000202276846668614 0 0
 349.77400458968 0.000245422351434046 0 0
 353.10047817375 9.6722498777592e-005 0 0
 356.42758029312 0.000183942427828266 0 0
 359.75529910961 0.000198807286996578 0 0
 363.08362278504 9.31209859457044e-005 0 0
 366.41253948123 -9.18632651385752e-006 0 0
 369.74203736 0.000183701079215531 0 0
 373.07210458317 0.000133122860712738 0 0
 376.40272931256 0.000326794230850757 0 0
 379.73389970999 0.000262725965139177 0 0
 383.06560393728 0.00013036513571449 0 0
 386.39783015625 0.000166543496574384 0 0
 389.73056652872 0.000165734528071205 0 0
 393.06380121651 0.0001470374292556 0 0
 396.39752238144 0.000156199968323186 0 0
 399.73171818533 0.000109734138142043 0 0
 403.06637679 -1.77821066067886e-005 0 0
 406.40148635727 1.78270697738508e-005 0 0
 409.73703504896 1.1223590334033e-005 0 0
 413.07301102689 0.000170899614513387 0 0
 416.40940245288 1.14393466966879e-005 0 0
 419.74619748875 0.000141961246609856 0 0
 423.08338429632 0.000184243071689613 0 0
 426.42095103741 0.000273979967659303 0 0
 429.75888587384 0.000398516493334394 0 0
 433.09717696743 0.000523590129950041 0 0
 436.43581248 0.000783628319883666 0 0
 439.77478057337 0.00113070396931414 0 0
 443.11406940936 0.00140515618068757 0 0
 446.45366714979 0.00144342943268598 0 0
 449.79356195648 0.00118239564159087 0 0
 453.13374199125 0.000862034193503588 0 0
 456.47419541592 0.000695830035444011 0 0
 459.81491039231 0.000483342750431352 0 0
 463.15587508224 0.000450427944895024 0 0
 466.49707764753 0.000304232485163462 0 0
 469.83850625 0.000218584062997335 0 0
 473.18014905147 0.000112164368238518 0 0
 476.52199421376 0.000230330034199842 0 0
 479.86402989869 0.000241786082774312 0 0
 483.20624426808 3.88743349595957e-005 0 0
 486.54862548375 0.000172179566042027 0 0
 489.89116170752 0.000291476706687995 0 0
 493.23384110121 0.000332779254813086 0 0
 496.57665182664 0.000346077832334545 0 0
 499.91958204563 0.000320974580528392 0 0
 503.26261992 0.000434452962425573 0 0
 506.60575361157 0.000509692821961735 0 0
 509.94897128216 0.000535142449880014 0 0
 513.29226109359 0.000606059290761513 0 0
 516.63561120768 0.000650098009025185 0 0
 519.97900978625 0.000637331780436327 0 0
 523.32244499112 0.000757148575834756 0 0
 526.66590498411 0.000844952528615661 0 0
