wavelength,intensity,err1,err2
307.9455893,0,0,0
311.2733354,0,0,0
314.6017016,0,0,0
317.9306778,0.007888146,0,0
321.2602533,-0.02337182,0,0
324.5904177,-0.010416098,0,0
327.9211606,0.003909422,0,0
331.2524715,0.00205303,0,0
334.58434,-0.000152794,0,0
337.9167556,0.001059811,0,0
341.2497079,0.000362457,0,0
344.5831863,-0.00112833,0,0
347.9171806,-0.001561712,0,0
351.2516801,0.002301919,0,0
354.5866745,0.002481895,0,0
357.9221533,0.000505413,0,0
361.258106,0.001475314,0,0
364.5945222,0.001534349,0,0
367.9313915,0.001620394,0,0
371.2687034,0.002978042,0,0
374.6064474,0.003048956,0,0
377.9446131,0.002842038,0,0
381.28319,0.003888693,0,0
384.6221677,0.004005272,0,0
387.9615357,0.004783659,0,0
391.3012836,0.00120724,0,0
394.6414009,0.005110602,0,0
397.9818771,0.01519625,0,0
401.3227019,0.061296001,0,0
404.6638648,0.086892236,0,0
408.0053552,0.067077437,0,0
411.3471629,0.035705528,0,0
414.6892772,0.03378722,0,0
418.0316878,0.038300479,0,0
421.3743841,0.045165967,0,0
424.7173559,0.05377317,0,0
428.0605925,0.075068628,0,0
431.4040835,0.275438326,0,0
434.7478186,0.513885137,0,0
438.0917871,0.480299133,0,0
441.4359788,0.206214748,0,0
444.7803831,0.115153897,0,0
448.1249896,0.107974398,0,0
451.4697878,0.111933103,0,0
454.8147672,0.114199454,0,0
458.1599175,0.11528759,0,0
461.5052282,0.110721104,0,0
464.8506887,0.113457324,0,0
468.1962888,0.113302521,0,0
471.5420178,0.108926323,0,0
474.8878654,0.108739643,0,0
478.2338211,0.12035102,0,0
481.5798744,0.171465592,0,0
484.926015,0.254375128,0,0
488.2722323,0.313220574,0,0
491.6185159,0.296107118,0,0
494.9648553,0.241188141,0,0
498.3112401,0.180013115,0,0
501.6576598,0.129623684,0,0
505.0041041,0.098531102,0,0
508.3505623,0.08618717,0,0
511.6970242,0.082577701,0,0
515.0434791,0.081556483,0,0
518.3899168,0.080172827,0,0
521.7363266,0.081576595,0,0
525.0826982,0.08392341,0,0
528.4290212,0.094026026,0,0
531.775285,0.119373242,0,0
535.1214792,0.218995681,0,0
538.4675933,0.554172287,0,0
541.813617,1.053858464,0,0
545.1595397,1.234205719,0,0
548.505351,0.950274796,0,0
551.8510405,0.574340607,0,0
555.1965976,0.372717144,0,0
558.542012,0.28876666,0,0
561.8872732,0.271850046,0,0
565.2323707,0.281557775,0,0
568.5772941,0.301792717,0,0
571.9220329,0.343179111,0,0
575.2665767,0.429790786,0,0
578.610915,0.535946697,0,0
581.9550374,0.633527253,0,0
585.2989334,0.68549131,0,0
588.6425926,0.673056101,0,0
591.9860045,0.602394564,0,0
595.3291586,0.528508719,0,0
598.6720446,0.468830165,0,0
602.0146519,0.452506151,0,0
605.3569701,0.667035836,0,0
608.6989888,1.152341643,0,0
612.0406975,1.358919104,0,0
615.3820857,1.144337681,0,0
618.723143,0.82638912,0,0
622.0638589,0.606194599,0,0
625.404223,0.495291264,0,0
628.7442249,0.437275886,0,0
632.083854,0.374796861,0,0
635.4231,0.285385495,0,0
638.7619523,0.208953955,0,0
642.1004006,0.170591709,0,0
645.4384344,0.158249835,0,0
648.7760431,0.160488615,0,0
652.1132164,0.155721916,0,0
655.4499439,0.134196666,0,0
658.786215,0.117680602,0,0
662.1220193,0.110647812,0,0
665.4573463,0.103917927,0,0
668.7921857,0.089796175,0,0
672.1265269,0.078734166,0,0
675.4603595,0.072895471,0,0
678.7936731,0.068710818,0,0
682.1264571,0.067818249,0,0
685.4587012,0.070685003,0,0
688.7903948,0.070457609,0,0
692.1215276,0.059662959,0,0
695.4520891,0.047803592,0,0
698.7820688,0.047567835,0,0
702.1114563,0.075102585,0,0
705.4402411,0.132241744,0,0
708.7684128,0.162507103,0,0
712.0959609,0.13114963,0,0
715.422875,0.071644293,0,0
718.7491445,0.034123507,0,0
722.0747592,0.021900719,0,0
725.3997084,0.01628159,0,0
728.7239818,0.015407112,0,0
732.0475689,0.013649423,0,0
735.3704592,0.014247764,0,0
738.6926424,0.018897475,0,0
742.0141079,0.016201819,0,0
745.3348452,0.014585504,0,0
748.654844,0.013703228,0,0
751.9740938,0.012543215,0,0
755.2925842,0.009755257,0,0
758.6103046,0.00996103,0,0
761.9272446,0.011627741,0,0
765.2433938,0.011443058,0,0
768.5587418,0.01032946,0,0
771.873278,0.007902501,0,0
775.186992,0.006840517,0,0
778.4998734,0.004817431,0,0
781.8119117,0.00434566,0,0
785.1230964,0.003520532,0,0
788.4334172,0.004384011,0,0
791.7428635,0.00547251,0,0
795.0514249,0.00744678,0,0
798.359091,0.009336335,0,0
801.6658513,0.008939213,0,0
804.9716953,0.011563145,0,0
808.2766125,0.015673015,0,0
811.5805927,0.017216271,0,0
814.8836252,0.013514804,0,0
818.1856996,0.005971769,0,0
821.4868056,0.006104314,0,0
824.7869325,0.005133732,0,0
828.0860701,0.005089416,0,0
831.3842077,0.004880997,0,0
834.681335,0.004310896,0,0
837.9774416,0.008757061,0,0
841.2725169,0.013348943,0,0
844.5665505,0.011184378,0,0
847.859532,0.007214508,0,0
851.1514508,0.007082848,0,0
854.4422967,0.01687226,0,0
857.732059,-0.005078009,0,0
861.0207274,0.001589525,0,0
864.3082914,0.007675153,0,0
867.5947405,0.002196614,0,0
870.8800643,0.003361567,0,0
874.1642523,0.005186861,0,0
877.4472941,0.004281472,0,0
880.7291793,0.00112232,0,0
