[Spectrum]
Version            = 1
IDData             = 95A7_2019-04-05_15-50-10_000_352
IDDevice           = SAM_8589
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:10
IDDataTypeSub3     = 
DateTime           = 2019-04-05 15:50:10
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_8589
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-04-12_14-51-44_608_165
IDDataCal = DLAB_2018-04-13_12-52-31_209_732
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 26
[END] of [Attributes]
[DATA]
 0 11 0 0
 307.52331957488 0 0 0
 310.83625202772 0 0 0
 314.15001779904 0 0 0
 317.464605545 0.00103801579293202 0 0
 320.78000392176 0.00176203327209462 0 0
 324.09620158548 -0.000302617577247278 0 0
 327.41318719232 0.00208109920952058 0 0
 330.73094939844 0.00249412836484636 0 0
 334.04947686 0.00135172036987882 0 0
 337.36875823316 0.00162962684278941 0 0
 340.68878217408 0.000601653132715522 0 0
 344.00953733892 -0.000479165647259228 0 0
 347.33101238384 0.000147535068611078 0 0
 350.653195965 0.000373078370688037 0 0
 353.97607673856 0.000803707702515689 0 0
 357.29964336068 0.000698475588762836 0 0
 360.62388448752 0.000500295073902628 0 0
 363.94878877524 0.000941858895063548 0 0
 367.27434488 0.00244185087843099 0 0
 370.60054145796 0.00250775973231248 0 0
 373.92736716528 0.00123008275894984 0 0
 377.25481065812 0.00251309110528407 0 0
 380.58286059264 0.00336692542491138 0 0
 383.911505625 0.00337778886753346 0 0
 387.24073441136 0.00312149185163231 0 0
 390.57053560788 0.00463795651854196 0 0
 393.90089787072 0.00504014924080303 0 0
 397.23180985604 0.00840387435063951 0 0
 400.56326022 0.0356395124794548 0 0
 403.89523761876 0.0621949006803908 0 0
 407.22773070848 0.0542611788667435 0 0
 410.56072814532 0.0278980821282023 0 0
 413.89421858544 0.0221750015819231 0 0
 417.228190685 0.0259664972454308 0 0
 420.56263310016 0.0308856975045336 0 0
 423.89753448708 0.0370037931977419 0 0
 427.23288350192 0.047477063781873 0 0
 430.56866880084 0.148852575254774 0 0
 433.90487904 0.357619369195387 0 0
 437.24150287556 0.386654389555676 0 0
 440.57852896368 0.198180570153316 0 0
 443.91594596052 0.0947269333570828 0 0
 447.25374252224 0.080953732047698 0 0
 450.591907305 0.0836826250178568 0 0
 453.93042896496 0.0857902614464263 0 0
 457.26929615828 0.0859736980501536 0 0
 460.60849754112 0.0857776440532277 0 0
 463.94802176964 0.0846203728365351 0 0
 467.2878575 0.0827931627731351 0 0
 470.62799338836 0.0804964838719214 0 0
 473.96841809088 0.0784100316077768 0 0
 477.30912026372 0.0830285903840773 0 0
 480.65008856304 0.114848989409051 0 0
 483.991311645 0.184321213666385 0 0
 487.33277816576 0.243252516210936 0 0
 490.67447678148 0.242245675529647 0 0
 494.01639614832 0.200877319305435 0 0
 497.35852492244 0.15003896086973 0 0
 500.70085176 0.103931196682097 0 0
 504.04336531716 0.0734598698167441 0 0
 507.38605425008 0.0590957293145651 0 0
 510.72890721492 0.0545455287135146 0 0
 514.07191286784 0.0532955952836957 0 0
 517.415059865 0.0529577069170129 0 0
 520.75833686256 0.0523392648062892 0 0
 524.10173251668 0.0533512709550669 0 0
 527.44523548352 0.0584078845331829 0 0
 530.78883441924 0.0721980748656449 0 0
 534.13251798 0.1253004554943 0 0
 537.47627482196 0.339345974022497 0 0
 540.82009360128 0.750195179706691 0 0
 544.16396297412 0.996543613673333 0 0
 547.50787159664 0.832982700804738 0 0
 550.851808125 0.5049945045308 0 0
 554.19576121536 0.301065271772314 0 0
 557.53971952388 0.201912993034758 0 0
 560.88367170672 0.170670031627416 0 0
 564.22760642004 0.169751624061646 0 0
 567.57151232 0.177681052520081 0 0
 570.91537806276 0.19885817383191 0 0
 574.25919230448 0.252449071347442 0 0
 577.60294370132 0.333533910364809 0 0
 580.94662090944 0.415482012234552 0 0
 584.290212585 0.470949242536308 0 0
 587.63370738416 0.47588368986768 0 0
 590.97709396308 0.42925706226729 0 0
 594.32036097792 0.366260226969059 0 0
 597.66349708484 0.317593768199465 0 0
 601.00649094 0.294609413355661 0 0
 604.34933119956 0.387545405624676 0 0
 607.69200651968 0.739777225212157 0 0
 611.03450555652 1.02072770374725 0 0
 614.37681696624 0.96024845416791 0 0
 617.718929405 0.683684457026965 0 0
 621.06083152896 0.484950412969895 0 0
 624.40251199428 0.378489373552119 0 0
 627.74395945712 0.326900575749332 0 0
 631.08516257364 0.282268901871569 0 0
 634.42611 0.216363774224256 0 0
 637.76679039236 0.149427855374383 0 0
 641.10719240688 0.114982133863585 0 0
 644.44730469972 0.102988259229328 0 0
 647.78711592704 0.105766426683352 0 0
 651.126614745 0.106115564685113 0 0
 654.46578980976 0.0921444912699209 0 0
 657.80462977748 0.0782113482129321 0 0
 661.14312330432 0.0748895940685526 0 0
 664.48125904644 0.0712247091175713 0 0
 667.81902566 0.0609562877920888 0 0
 671.15641180116 0.054418838726509 0 0
 674.49340612608 0.0487381708204216 0 0
 677.82999729092 0.0469210098712618 0 0
 681.16617395184 0.0459930122766269 0 0
 684.501924765 0.0477820169502467 0 0
 687.83723838656 0.0493384738987566 0 0
 691.17210347268 0.04562358783285 0 0
 694.50650867952 0.0373181025530458 0 0
 697.84044266324 0.0321402446494993 0 0
 701.17389408 0.045679704295768 0 0
 704.50685158596 0.0892177791978601 0 0
 707.83930383728 0.121802461052631 0 0
 711.17123949012 0.10921041340491 0 0
 714.50264720064 0.0661417470661789 0 0
 717.833515625 0.0300778999935872 0 0
 721.16383341936 0.0163661746953762 0 0
 724.49358923988 0.0121700395469287 0 0
 727.82277174272 0.0103450933402416 0 0
 731.15136958404 0.00885295973046772 0 0
 734.47937142 0.00826008408455777 0 0
 737.80676590676 0.00872594863313004 0 0
 741.13354170048 0.00957051932688477 0 0
 744.45968745732 0.00971971492017285 0 0
 747.78519183344 0.00897624977572349 0 0
 751.110043485 0.00764519956949717 0 0
 754.43423106816 0.00495529885116154 0 0
 757.75774323908 0.00460222374817906 0 0
 761.08056865392 0.00799274274609245 0 0
 764.40269596884 0.00675254341337564 0 0
 767.72411384 0.00637570188319133 0 0
 771.04481092356 0.00587843456470734 0 0
 774.36477587568 0.00513349680705926 0 0
 777.68399735252 0.00466189980991578 0 0
 781.00246401024 0.00150725226014174 0 0
 784.320164505 0.000472100613339111 0 0
 787.63708749296 0.0025566356269243 0 0
 790.95322163028 0.00277474121227059 0 0
 794.26855557312 0.00406214149175099 0 0
 797.58307797764 0.00727574307588452 0 0
 800.8967775 0.00484841291346306 0 0
 804.20964279636 0.00706832159240145 0 0
 807.52166252288 0.00870015806998909 0 0
 810.83282533572 0.0114264175584941 0 0
 814.14311989104 0.00953424561844504 0 0
 817.452534845 0.00387680674928446 0 0
 820.76105885376 0.00327546901999572 0 0
 824.06868057348 0.00348583917415077 0 0
 827.37538866032 0.00331171416847493 0 0
 830.68117177044 0.00460070301718206 0 0
 833.98601856 0.00386966145225159 0 0
 837.28991768516 0.00676580140703477 0 0
 840.59285780208 0.00930865876371938 0 0
 843.89482756692 0.00762606005660777 0 0
 847.19581563584 0.00711890731975606 0 0
 850.495810665 0.00215404639455095 0 0
 853.79480131056 0.00304662666278845 0 0
 857.09277622868 0.00280660687874595 0 0
 860.38972407552 0.00102061132477503 0 0
 863.68563350724 0.00361540750191309 0 0
 866.98049318 0.00018391747544432 0 0
 870.27429174996 0.00188829322076548 0 0
 873.56701787328 -0.000156277451850857 0 0
 876.85866020612 -0.000363707506699257 0 0
 880.14920740464 -0.000417677889309786 0 0
 883.438648125 -0.00348349332071594 0 0
 886.72697102336 -0.00249403485461684 0 0
 890.01416475588 -0.00434181770912816 0 0
 893.30021797872 -5.75902174268712e-005 0 0
 896.58511934804 -0.0015466062714624 0 0
 899.86885752 0.00688253441555553 0 0
 903.15142115076 0.00286118271715086 0 0
 906.43279889648 -0.00190794527716608 0 0
 909.71297941332 0.0104998919829371 0 0
 912.99195135744 0.00452678636982186 0 0
 916.269703385 0.00888605303496513 0 0
 919.54622415216 -0.00192780964584937 0 0
 922.82150231508 -0.00100851590769934 0 0
 926.09552652992 0.000440778915909029 0 0
 929.36828545284 -0.00113132814981709 0 0
 932.63976774 0.000652475281982299 0 0
 935.90996204756 0.00165774781274086 0 0
 939.17885703168 0.000823963193236812 0 0
 942.44644134852 -0.00855091928131386 0 0
 945.71270365424 0.000535182170376546 0 0
 948.977632605 -0.00214652052189639 0 0
 952.24121685696 0.0029898787546742 0 0
 955.50344506628 0 0 0
 958.76430588912 0 0 0
 962.02378798164 0 0 0
 965.28188 0 0 0
 968.53857060036 0 0 0
 971.79384843888 0 0 0
 975.04770217172 0 0 0
 978.30012045504 0 0 0
 981.551091945 0 0 0
 984.80060529776 0 0 0
 988.04864916948 0 0 0
 991.29521221632 0 0 0
 994.54028309444 0 0 0
 997.78385046 0 0 0
 1001.02590296916 0 0 0
 1004.26642927808 0 0 0
 1007.50541804292 0 0 0
 1010.74285791984 0 0 0
 1013.978737565 0 0 0
 1017.21304563456 0 0 0
 1020.44577078468 0 0 0
 1023.67690167152 0 0 0
 1026.90642695124 0 0 0
 1030.13433528 0 0 0
 1033.36061531396 0 0 0
 1036.58525570928 0 0 0
 1039.80824512212 0 0 0
 1043.02957220864 0 0 0
 1046.249225625 0 0 0
 1049.46719402736 0 0 0
 1052.68346607188 0 0 0
 1055.89803041472 0 0 0
 1059.11087571204 0 0 0
 1062.32199062 0 0 0
 1065.53136379476 0 0 0
 1068.73898389248 0 0 0
 1071.94483956932 0 0 0
 1075.14891948144 0 0 0
 1078.351212285 0 0 0
 1081.55170663616 0 0 0
 1084.75039119108 0 0 0
 1087.94725460592 0 0 0
 1091.14228553684 0 0 0
 1094.33547264 0 0 0
 1097.52680457156 0 0 0
 1100.71626998768 0 0 0
 1103.90385754452 0 0 0
 1107.08955589824 0 0 0
 1110.273353705 0 0 0
 1113.45523962096 0 0 0
 1116.63520230228 0 0 0
 1119.81323040512 0 0 0
 1122.98931258564 0 0 0
