wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1229,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
2,1197,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
3,1217,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
4,1162,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
5,1188,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
6,1193,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
7,1412,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
8,1225,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
9,1251,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
10,1282,0,0,1,95A7_2019-05-02_23-45-50_000_194,SAM_8581,SPECTRUM,RAW,,,2019-05-02 23:45:50,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.2405741945715,1,-13.65,6.65,4096,-1,0,+INF,0,1,0.115374771456625,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,14
