wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1347,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
2,1408,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
3,1534,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
4,1724,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
5,1989,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
6,2396,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
7,2883,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
8,3348,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
9,3804,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
10,4380,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
11,5013,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
12,5622,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
13,6300,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
14,7021,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
15,7320,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
16,7324,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
17,7492,0,0,1,95A7_2019-06-16_14-33-20_000_237,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:33:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,24.698200375282,1,-12.95,-20.65,32,-1,0,+INF,0,1,0.016939064209212,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,17
