99AA01-0717-0068	
This data is for reference only	
704	0.9903
705	0.9895
706	0.9886
707	0.9901
708	0.9899
709	0.9898
710	0.9898
711	0.9901
712	0.9896
713	0.9901
714	0.9896
715	0.9897
716	0.9901
717	0.9903
718	0.9898
719	0.9899
720	0.9904
721	0.9905
722	0.9907
723	0.9899
724	0.9897
725	0.9898
726	0.9897
727	0.9895
728	0.9900
729	0.9898
730	0.9906
731	0.9902
732	0.9894
733	0.9896
734	0.9900
735	0.9900
736	0.9896
737	0.9900
738	0.9906
739	0.9894
740	0.9893
741	0.9897
742	0.9889
743	0.9897
744	0.9898
745	0.9904
746	0.9895
747	0.9896
748	0.9894
749	0.9896
750	0.9902
751	0.9898
752	0.9894
753	0.9900
754	0.9896
755	0.9898
756	0.9896
757	0.9899
758	0.9896
759	0.9901
760	0.9898
761	0.9899
762	0.9899
763	0.9903
764	0.9901
765	0.9903
766	0.9902
767	0.9899
768	0.9896
769	0.9896
770	0.9903
771	0.9896
772	0.9900
773	0.9895
774	0.9896
775	0.9898
776	0.9902
777	0.9895
778	0.9895
779	0.9897
780	0.9897
781	0.9896
782	0.9903
783	0.9900
784	0.9904
785	0.9897
786	0.9898
787	0.9894
788	0.9906
789	0.9904
790	0.9899
791	0.9895
792	0.9901
793	0.9898
794	0.9897
795	0.9906
796	0.9896
797	0.9896
798	0.9898
799	0.9907
800	0.9897
801	0.9893
802	0.9892
803	0.9895
804	0.9906
805	0.9904
806	0.9899
807	0.9902
808	0.9902
809	0.9896
810	0.9903
811	0.9905
812	0.9902
813	0.9899
814	0.9900
815	0.9893
816	0.9897
817	0.9901
818	0.9903
819	0.9903
820	0.9896
821	0.9902
822	0.9902
823	0.9904
824	0.9905
825	0.9900
826	0.9899
827	0.9901
828	0.9898
829	0.9898
830	0.9907
831	0.9902
832	0.9901
833	0.9907
834	0.9910
835	0.9899
836	0.9894
837	0.9902
838	0.9917
839	0.9918
840	0.9900
841	0.9898
842	0.9903
843	0.9912
844	0.9909
845	0.9914
846	0.9923
847	0.9910
848	0.9901
849	0.9902
850	0.9904
851	0.9906
852	0.9905
853	0.9912
854	0.9896
855	0.9886
856	0.9903
857	0.9907
858	0.9886
859	0.9884
860	0.9902
861	0.9903
862	0.9869
863	0.9881
864	0.9891
865	0.9882
866	0.9898
867	0.9904
868	0.9887
869	0.9900
870	0.9906
871	0.9886
872	0.9895
873	0.9916
874	0.9889
875	0.9876
876	0.9891
877	0.9892
878	0.9928
879	0.9959
880	0.9901
881	0.9875
882	0.9893
883	0.9910
884	0.9911
885	0.9894
886	0.9888
887	0.9889
888	0.9899
889	0.9888
890	0.9896
891	0.9906
892	0.9893
893	0.9894
894	0.9898
895	0.9887
896	0.9900
897	0.9901
898	0.9890
899	0.9896
900	0.9893
901	0.9904
902	0.9919
903	0.9910
904	0.9894
905	0.9897
906	0.9902
907	0.9894
908	0.9902
909	0.9897
910	0.9896
911	0.9906
912	0.9907
913	0.9906
914	0.9919
915	0.9913
916	0.9894
917	0.9897
918	0.9902
919	0.9904
920	0.9908
921	0.9907
922	0.9897
923	0.9895
924	0.9900
925	0.9901
926	0.9909
927	0.9898
928	0.9886
929	0.9895
930	0.9900
931	0.9896
932	0.9907
933	0.9908
934	0.9898
935	0.9901
936	0.9902
937	0.9897
938	0.9912
939	0.9910
940	0.9893
941	0.9901
942	0.9906
943	0.9902
944	0.9914
945	0.9912
946	0.9901
947	0.9909
948	0.9905
949	0.9893
950	0.9905
951	0.9907
952	0.9904
953	0.9903
954	0.9902
955	0.9901
956	0.9908
957	0.9907
958	0.9900
959	0.9906
960	0.9902
961	0.9895
962	0.9904
963	0.9907
964	0.9904
965	0.9905
966	0.9903
967	0.9905
968	0.9914
969	0.9903
970	0.9901
971	0.9903
972	0.9901
973	0.9907
974	0.9908
975	0.9897
976	0.9893
977	0.9907
978	0.9909
979	0.9907
980	0.9904
981	0.9903
982	0.9897
983	0.9909
984	0.9909
985	0.9908
986	0.9912
987	0.9910
988	0.9900
989	0.9903
990	0.9905
991	0.9908
992	0.9899
993	0.9899
994	0.9897
995	0.9909
996	0.9907
997	0.9903
998	0.9897
999	0.9905
1000	0.9906
1001	0.9907
1002	0.9907
1003	0.9903
1004	0.9903
1005	0.9903
1006	0.9897
1007	0.9908
1008	0.9900
1009	0.9906
1010	0.9905
1011	0.9905
1012	0.9901
1013	0.9910
1014	0.9910
1015	0.9906
1016	0.9904
1017	0.9905
1018	0.9906
1019	0.9916
1020	0.9908
1021	0.9901
1022	0.9900
1023	0.9905
1024	0.9908
1025	0.9913
1026	0.9910
1027	0.9904
1028	0.9898
1029	0.9903
1030	0.9902
1031	0.9911
1032	0.9909
1033	0.9907
1034	0.9910
1035	0.9909
1036	0.9907
1037	0.9911
1038	0.9911
1039	0.9910
1040	0.9905
1041	0.9913
1042	0.9909
1043	0.9911
1044	0.9905
1045	0.9905
1046	0.9901
1047	0.9908
1048	0.9905
1049	0.9910
1050	0.9908
1051	0.9905
1052	0.9908
1053	0.9900
1054	0.9905
1055	0.9908
1056	0.9905
1057	0.9906
1058	0.9903
1059	0.9903
1060	0.9899
1061	0.9911
1062	0.9904
1063	0.9911
1064	0.9906
1065	0.9912
1066	0.9908
1067	0.9916
1068	0.9907
1069	0.9910
1070	0.9907
1071	0.9920
1072	0.9911
1073	0.9913
1074	0.9915
1075	0.9915
1076	0.9910
1077	0.9914
1078	0.9914
1079	0.9914
1080	0.9911
1081	0.9904
1082	0.9904
1083	0.9909
1084	0.9906
1085	0.9911
1086	0.9909
1087	0.9909
1088	0.9901
1089	0.9902
1090	0.9902
1091	0.9914
1092	0.9907
1093	0.9908
1094	0.9907
1095	0.9906
1096	0.9900
1097	0.9909
1098	0.9908
1099	0.9908
1100	0.9904
1101	0.9906
1102	0.9901
1103	0.9908
1104	0.9900
1105	0.9905
1106	0.9905
1107	0.9910
1108	0.9903
1109	0.9908
1110	0.9906
1111	0.9907
1112	0.9907
1113	0.9913
1114	0.9910
1115	0.9910
1116	0.9908
1117	0.9903
1118	0.9907
1119	0.9906
1120	0.9901
1121	0.9913
1122	0.9905
1123	0.9909
1124	0.9909
1125	0.9901
1126	0.9903
1127	0.9911
1128	0.9907
1129	0.9905
1130	0.9906
1131	0.9910
1132	0.9903
1133	0.9906
1134	0.9910
1135	0.9910
1136	0.9907
1137	0.9914
1138	0.9908
1139	0.9908
1140	0.9904
1141	0.9908
1142	0.9904
1143	0.9910
1144	0.9904
1145	0.9907
1146	0.9911
1147	0.9911
1148	0.9904
1149	0.9904
1150	0.9902
1151	0.9911
1152	0.9903
1153	0.9905
1154	0.9901
1155	0.9910
1156	0.9904
1157	0.9907
1158	0.9903
1159	0.9908
1160	0.9906
1161	0.9909
1162	0.9901
1163	0.9908
1164	0.9906
1165	0.9904
1166	0.9907
1167	0.9908
1168	0.9904
1169	0.9909
1170	0.9902
1171	0.9905
1172	0.9904
1173	0.9906
1174	0.9901
1175	0.9906
1176	0.9901
1177	0.9901
1178	0.9899
1179	0.9905
1180	0.9899
1181	0.9907
1182	0.9903
1183	0.9898
1184	0.9898
1185	0.9900
1186	0.9898
1187	0.9899
1188	0.9893
1189	0.9894
1190	0.9902
1191	0.9906
1192	0.9899
1193	0.9894
1194	0.9898
1195	0.9897
1196	0.9902
1197	0.9900
1198	0.9897
1199	0.9898
1200	0.9902
1201	0.9898
1202	0.9900
1203	0.9899
1204	0.9898
1205	0.9899
1206	0.9894
1207	0.9894
1208	0.9896
1209	0.9897
1210	0.9894
1211	0.9899
1212	0.9899
1213	0.9897
