99AA01-0717-0068	
This data is for reference only	
2077	0.9477
2078	0.9544
2079	0.9654
2080	0.9586
2081	0.9536
2082	0.9471
2083	0.9445
2084	0.9495
2085	0.9653
2086	0.9622
2087	0.9544
2088	0.9504
2089	0.9479
2090	0.9494
2091	0.9644
2092	0.9568
2093	0.9567
2094	0.9463
2095	0.9443
2096	0.9485
2097	0.9628
2098	0.9577
2099	0.9501
2100	0.9442
2101	0.9442
2102	0.9479
2103	0.9654
2104	0.9569
2105	0.9520
2106	0.9397
2107	0.9414
2108	0.9433
2109	0.9649
2110	0.9544
2111	0.9559
2112	0.9480
2113	0.9395
2114	0.9488
2115	0.9619
2116	0.9528
2117	0.9515
2118	0.9403
2119	0.9398
2120	0.9436
2121	0.9550
2122	0.9512
2123	0.9522
2124	0.9408
2125	0.9393
2126	0.9433
2127	0.9617
2128	0.9512
2129	0.9476
2130	0.9415
2131	0.9385
2132	0.9455
2133	0.9538
2134	0.9527
2135	0.9507
2136	0.9455
2137	0.9396
2138	0.9411
2139	0.9609
2140	0.9575
2141	0.9437
2142	0.9390
2143	0.9376
2144	0.9417
2145	0.9572
2146	0.9598
2147	0.9498
2148	0.9452
2149	0.9388
2150	0.9436
2151	0.9665
2152	0.9606
2153	0.9495
2154	0.9424
2155	0.9373
2156	0.9438
2157	0.9565
2158	0.9551
2159	0.9541
2160	0.9389
2161	0.9409
2162	0.9465
2163	0.9588
2164	0.9542
2165	0.9515
2166	0.9430
2167	0.9446
2168	0.9573
2169	0.9634
2170	0.9595
2171	0.9554
2172	0.9450
2173	0.9531
2174	0.9576
2175	0.9689
2176	0.9606
2177	0.9583
2178	0.9533
2179	0.9532
2180	0.9570
2181	0.9648
2182	0.9620
2183	0.9586
2184	0.9505
2185	0.9535
2186	0.9616
2187	0.9693
2188	0.9655
2189	0.9627
2190	0.9592
2191	0.9571
2192	0.9606
2193	0.9569
2194	0.9604
2195	0.9668
2196	0.9604
2197	0.9558
2198	0.9649
2199	0.9726
2200	0.9738
2201	0.9680
2202	0.9586
2203	0.9615
2204	0.9687
2205	0.9708
2206	0.9705
2207	0.9714
2208	0.9614
2209	0.9548
2210	0.9576
2211	0.9692
2212	0.9668
2213	0.9663
2214	0.9680
2215	0.9572
2216	0.9614
2217	0.9706
2218	0.9755
2219	0.9685
2220	0.9617
2221	0.9578
2222	0.9634
2223	0.9732
2224	0.9772
2225	0.9689
2226	0.9618
2227	0.9591
2228	0.9611
2229	0.9684
2230	0.9734
2231	0.9693
2232	0.9661
2233	0.9602
2234	0.9616
2235	0.9724
2236	0.9759
2237	0.9715
2238	0.9639
2239	0.9574
2240	0.9607
2241	0.9702
2242	0.9749
2243	0.9666
2244	0.9621
2245	0.9585
2246	0.9629
2247	0.9739
2248	0.9724
2249	0.9675
2250	0.9654
2251	0.9563
2252	0.9587
2253	0.9650
2254	0.9671
2255	0.9636
2256	0.9574
2257	0.9483
2258	0.9531
2259	0.9703
2260	0.9784
2261	0.9679
2262	0.9558
2263	0.9564
2264	0.9650
2265	0.9776
2266	0.9814
2267	0.9703
2268	0.9598
2269	0.9547
2270	0.9574
2271	0.9741
2272	0.9733
2273	0.9559
2274	0.9550
2275	0.9556
2276	0.9632
2277	0.9759
2278	0.9726
2279	0.9577
2280	0.9502
2281	0.9493
2282	0.9523
2283	0.9718
2284	0.9758
2285	0.9622
2286	0.9506
2287	0.9465
2288	0.9516
2289	0.9730
2290	0.9697
2291	0.9516
2292	0.9484
2293	0.9512
2294	0.9561
2295	0.9659
2296	0.9668
2297	0.9620
2298	0.9490
2299	0.9404
2300	0.9521
2301	0.9726
2302	0.9665
2303	0.9560
2304	0.9482
2305	0.9429
2306	0.9459
2307	0.9627
2308	0.9651
2309	0.9538
2310	0.9460
2311	0.9443
2312	0.9451
2313	0.9698
2314	0.9796
2315	0.9643
2316	0.9517
2317	0.9451
2318	0.9509
2319	0.9701
2320	0.9751
2321	0.9657
2322	0.9454
2323	0.9381
2324	0.9427
2325	0.9626
2326	0.9650
2327	0.9626
2328	0.9483
2329	0.9366
2330	0.9395
2331	0.9616
2332	0.9647
2333	0.9529
2334	0.9493
2335	0.9375
2336	0.9376
2337	0.9610
2338	0.9675
2339	0.9571
2340	0.9406
2341	0.9316
2342	0.9399
2343	0.9676
2344	0.9660
2345	0.9507
2346	0.9421
2347	0.9316
2348	0.9367
2349	0.9502
2350	0.9561
2351	0.9547
2352	0.9429
2353	0.9250
2354	0.9314
2355	0.9428
2356	0.9354
2357	0.9473
2358	0.9554
2359	0.9529
2360	0.9502
2361	0.9415
2362	0.9288
2363	0.9517
2364	0.9516
2365	0.9540
2366	0.9473
2367	0.9378
2368	0.9364
2369	0.9486
2370	0.9529
2371	0.9458
2372	0.9376
2373	0.9545
2374	0.9442
2375	0.9658
2376	0.9488
2377	0.9339
2378	0.9404
2379	0.9470
2380	0.9399
2381	0.9561
2382	0.9468
2383	0.9413
2384	0.9392
2385	0.9360
2386	0.9303
2387	0.9417
2388	0.9345
2389	0.9597
2390	0.9422
2391	0.9329
2392	0.9297
2393	0.9569
2394	0.9520
2395	0.9532
2396	0.9459
2397	0.9537
2398	0.9448
2399	0.9583
2400	0.9447
2401	0.9487
2402	0.9268
2403	0.9341
2404	0.9337
2405	0.9350
2406	0.9386
2407	0.9485
2408	0.9369
2409	0.9345
2410	0.9340
2411	0.9610
2412	0.9404
2413	0.9423
2414	0.9577
2415	0.9478
2416	0.9338
2417	0.9575
2418	0.9475
2419	0.9541
2420	0.9425
2421	0.9409
2422	0.9245
2423	0.9531
2424	0.9352
2425	0.9480
2426	0.9287
2427	0.9463
2428	0.9342
2429	0.9660
2430	0.9200
2431	0.9527
2432	0.9254
2433	0.9423
2434	0.9315
2435	0.9489
2436	0.9398
2437	0.9502
2438	0.9252
2439	0.9500
2440	0.9349
2441	0.9771
2442	0.9473
2443	0.9448
2444	0.9308
2445	0.9495
2446	0.9333
2447	0.9393
2448	0.9475
2449	0.9661
2450	0.9366
2451	0.9430
2452	0.9286
2453	0.9619
2454	0.9280
2455	0.9429
2456	0.9265
2457	0.9318
2458	0.9194
2459	0.9683
2460	0.9331
2461	0.9614
2462	0.9388
2463	0.9691
2464	0.9699
2465	0.9486
2466	0.9539
2467	0.9038
2468	0.9404
2469	0.9327
2470	0.9173
2471	0.9487
2472	0.9256
2473	0.9563
2474	0.9303
2475	0.9409
2476	0.9391
2477	0.9528
2478	0.9171
2479	0.9499
2480	0.9147
2481	0.9516
2482	0.9649
2483	0.9843
2484	0.9361
2485	0.9387
2486	0.9331
2487	0.9495
2488	0.9271
2489	0.9528
2490	0.9520
2491	0.9592
2492	0.9339
2493	0.9437
2494	0.9200
2495	0.9340
2496	0.9473
2497	0.9432
2498	0.9029
2499	0.9493
2500	0.9401
