Date,Time,°C,kPa,DO %,DO mg/L,SPC-mS/cm,C-mS/cm,TDS mg/L,SAL-ppt,pH,FNU,NTU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m,ALT m,Lat,Lon
6/17/2019,1:11:13,13.618,100.91,88.6,7.41,53.27,41.69,34625.711,35.12,7.83,1.61,1.61,0.412,0.49,1.307,5.27,3.679,7.3,38.18819,-122.92801
6/17/2019,1:11:18,13.561,100.9,88.3,7.39,53.282,41.641,34633.586,35.13,7.83,1.47,1.47,0.603,0.68,1.618,6.52,3.673,6.9,38.1882,-122.92802
6/17/2019,1:11:23,13.517,100.92,87.9,7.36,53.306,41.617,34648.918,35.14,7.83,1.35,1.35,0.397,0.48,1.385,5.59,3.75,6.2,38.18821,-122.92802
6/17/2019,1:11:28,13.146,100.91,87.4,7.36,53.558,41.432,34812.695,35.31,7.83,1.25,1.25,0.439,0.52,1.511,6.09,3.875,6.4,38.18823,-122.92802
6/17/2019,1:11:33,13.105,100.92,87.7,7.4,53.473,41.322,34757.445,35.25,7.83,1.11,1.11,0.534,0.61,1.189,4.8,3.926,0,38.18824,-122.92802
6/17/2019,1:11:38,13.184,100.91,88.3,7.45,53.45,41.387,34742.723,35.23,7.83,1.28,1.28,0.586,0.67,1.219,4.92,3.594,-0.2,38.18825,-122.92802
6/17/2019,1:11:43,13.527,100.91,88.5,7.41,53.239,41.572,34605.16,35.09,7.82,1.54,1.54,0.471,0.55,1.329,5.36,3.553,3,38.18826,-122.92805
6/17/2019,1:11:48,13.531,100.9,87.8,7.35,53.276,41.606,34629.449,35.12,7.82,1.45,1.45,0.443,0.52,1.163,4.7,3.75,2.4,38.18826,-122.92805
6/17/2019,1:11:53,13.623,100.92,88.3,7.39,53.211,41.649,34587.422,35.08,7.82,1.55,1.55,0.319,0.4,1.467,5.91,3.43,3.6,38.18826,-122.92805
6/17/2019,1:11:58,13.702,100.9,87.9,7.33,53.182,41.711,34567.996,35.06,7.82,1.45,1.45,0.468,0.55,1.587,6.39,3.705,3.6,38.18827,-122.92807
6/17/2019,1:12:03,13.442,100.9,87.5,7.33,53.381,41.597,34697.703,35.19,7.82,1.38,1.38,0.523,0.6,1.269,5.12,3.923,2.5,38.18826,-122.92808
6/17/2019,1:12:08,13.218,100.9,87.1,7.33,53.491,41.455,34769.211,35.27,7.82,1.25,1.25,0.51,0.59,1.298,5.24,3.915,1.4,38.18826,-122.92809
6/17/2019,1:12:13,13.157,100.91,87.5,7.38,53.48,41.383,34762.289,35.25,7.82,1.25,1.25,0.49,0.57,1.163,4.7,3.873,1,38.18828,-122.9281
6/17/2019,1:12:18,13.3,100.91,87.6,7.37,53.354,41.431,34679.953,35.17,7.82,1.32,1.32,0.544,0.62,1.256,5.07,3.821,0.3,38.18829,-122.92811
6/17/2019,1:12:23,13.248,100.9,87.4,7.35,53.43,41.435,34729.379,35.22,7.82,1.39,1.39,0.296,0.38,1.269,5.12,3.758,-1.6,38.18831,-122.92811
6/17/2019,1:12:28,13.279,100.92,87.3,7.34,53.398,41.444,34708.715,35.2,7.82,1.39,1.39,0.489,0.57,0.914,3.7,3.918,-2.8,38.18831,-122.92811
6/17/2019,1:12:33,13.279,100.92,87.3,7.34,53.382,41.435,34698.004,35.19,7.82,1.41,1.41,0.391,0.47,1.355,5.47,3.908,-2.5,38.18832,-122.92812
6/17/2019,1:12:38,13.163,100.92,87.1,7.34,53.46,41.374,34749.164,35.24,7.82,1.12,1.12,0.393,0.47,1.143,4.62,3.936,-1.2,38.18832,-122.92815
6/17/2019,1:12:43,13.203,100.91,87.3,7.35,53.44,41.398,34735.871,35.23,7.81,1.28,1.28,0.388,0.47,1.084,4.38,3.918,-0.8,38.18833,-122.92815
6/17/2019,1:12:48,13.167,100.93,87.4,7.37,53.437,41.36,34734.242,35.22,7.81,1.27,1.27,0.35,0.43,0.907,3.67,3.914,-1.6,38.18834,-122.92817
6/17/2019,1:12:53,13.179,100.91,87.2,7.35,53.432,41.368,34730.703,35.22,7.81,1.47,1.47,0.416,0.5,1.072,4.33,3.895,-2.4,38.18835,-122.92818
